롱 리브 더 킹: 목포 영웅,7,"김래원도 김래원이지만 솔직히 최귀화, 진선규가 다 함"
토이 스토리,10,4 보기 전에 다시 1부터 정주행. 오프닝 음악에 눈물이 핑 도는건 왜일까.
롱 리브 더 킹: 목포 영웅,10,기대안하고 봤는데 영화 진짜 재밌었습니다. 김래원님 연기하는거 보고 중간중간 소름돋기도 했는데영화보고 평점 1점 주면서 “영화재미없었다” “돈아까웠다” “시간낭비했다” 하시는분들 여기다 악플 달고 있는 시간은 안아까우신가봐여ㅎ
알라딘,10,아 그냥 존잼이에요 제발 다들 보세요
토이 스토리 4,8,3편 만큼은 아니지만 후속작치고는 상당히 잘만들었어요.
토이 스토리 3,9,So long partner
악질경찰,9,조선노비들수준하고는 극한직업보다 훨씬재밌다!기대안하고봤는데 엄청재밌다 이선균 연기 정말잘한다
알라딘,10,아름다워서 눈물났던 영화
친절한 금자씨,10,7점대 절대 아닙니다 .
토이 스토리 4,10,9년을 기다린 보람이 있다. 장난감을 보고 설렐 줄은 몰랐네. 토이스토리3에서 등장하지못한 보핍이 화려하게 등장한 영화.
토이 스토리 4,10,9년을 기다린 보람이 있다. 장난감을 보고 설렐 줄은 몰랐네. 토이스토리3에서 등장하지못한 보핍이 화려하게 등장한 영화.
롱 리브 더 킹: 목포 영웅,10,웹툰의 내용을다 담아내긴 시간이 좀짧았네요그래도 배우들연기가 훌륭했습니다..김래원 파이팅!!!
롱 리브 더 킹: 목포 영웅,10,너무존잼래원이형 ㅠ 진짜 너무 잼있어ㅛ어요
토이 스토리 4,10,"1,2,3편을 뒤늦게 집에서 보고는 이제 더이상 영화관에서 볼수없어 아쉬웠는데 큰스크린으로 토이스토리4를 보게 되다니!! 장난감들과 함께 울고 웃고 역시 인생애니T-T"
호텔 뭄바이,10,별 생각없이 봤는데 최고의 영화였다.내가 좋아하는 액션 스릴러는 기본이고가족애라는 요소가 강하게 들어가있어서영화 장르가 다른 와이프도 눈물흘리며 봤다.올해 본 영화 30여편중에 어벤져스와 이 영화 두개를 최고로 뽑을것이다.
토이 스토리 4,1,무료주차 4번째 파킹스토리 굿
토이 스토리 4,10,내가 이래서 디즈니 픽사를 좋아하지! 꼭 삶에 지칠때로 지친 우리 어른들한테 들려주고 싶은 얘기를 쟤네들이 대신 해주잖아ㅜ 시리즈중 가장 주제의식이 좋았어! 우디야 잘한거야 잘했어!ㅎㅎ
마당을 나온 암탉,3,마당을 나온 암탉은 당시를 다시 생각해보면 애국 마케팅과 일반 홍보 마케팅 그리고 배우들 때문에 봤지 내용은 기대 이하였다
롱 리브 더 킹: 목포 영웅,1,솔직히 너무재미없다악질경찰이 오히러 낫다...
기생충,10,영화가 끝난후 정말 많은생각이 드는 영화 대박 그 자체
기생충,10,영화가 끝난후 정말 많은생각이 드는 영화 대박 그 자체
